rank,score,deferred,chapel,requirements,electives,credits,free_days,early1,lunch_fail,late,runs,holes
1,21.795,Lang,YCA1006-02-00,QRM1001-01-00 UIC1561-01-00 UIC1551-01-00 UIC2151-12-00,YCE1253-01-00 BIZ1101-09-00,18.0,월금,1,0,1,,1+1+1
2,21.065,MR,YCA1006-02-00,UIC1561-01-00 UIC1551-01-00 UIC2151-12-00 UIC1805-02-00,ECO1002-05-00 BIZ1101-09-00,18.0,월금,1,0,1,,1+1+1
3,21.065,MR,YCA1006-02-00,UIC1561-01-00 UIC1551-01-00 UIC2151-12-00 UIC1805-02-00,ECO1002-05-00 BIZ1101-09-00,18.0,월금,1,0,1,,1+1+1
4,20.065,MR,YCA1006-02-00,UIC1561-01-00 UIC1551-01-00 UIC2151-12-00 UIC1805-02-00,ECO1002-05-00 YCK1998-03-00,18.0,월금,1,0,1,,1+3+1
5,20.065,MR,YCA1006-02-00,UIC1561-01-00 UIC1551-01-00 UIC2151-12-00 UIC1805-02-00,ECO1002-05-00 YCK1998-03-00,18.0,월금,1,0,1,,1+3+1
6,19.92,Lang,YCA1006-02-00,QRM1001-01-00 UIC1561-01-00 UIC1551-01-00 UIC2151-12-00,YCH1605-01-00 BIZ1101-09-00,18.0,월금,1,0,1,,2+1+1
7,19.815,MR,YCA1006-02-00,UIC1561-01-00 UIC1551-04-00 UIC2151-12-00 UIC1806-02-00,YCI1998-02-00 BIZ1101-09-00,18.0,월금,1,0,1,,2+1
8,19.815,MR,YCA1006-02-00,UIC1561-01-00 UIC1551-04-00 UIC2151-12-00 UIC1806-02-00,YCI1998-02-00 BIZ1101-09-00,18.0,월금,1,0,1,,2+1
9,19.355,MR,YCA1006-02-00,UIC1561-01-00 UIC1551-01-00 UIC2151-12-00 UIC1805-02-00,STA2102-04-00 BIZ1101-09-00,18.0,월금,1,0,1,,1+1+1
10,19.355,MR,YCA1006-02-00,UIC1561-01-00 UIC1551-01-00 UIC2151-12-00 UIC1805-02-00,STA2102-04-00 BIZ1101-09-00,18.0,월금,1,0,1,,1+1+1
11,19.19,MR,YCA1006-02-00,UIC1561-01-00 UIC1551-01-00 UIC2151-12-00 UIC1805-02-00,UCB1105-02-00 BIZ1101-09-00,18.0,월금,1,0,1,,1+1+2
12,19.19,MR,YCA1006-02-00,UIC1561-01-00 UIC1551-01-00 UIC2151-12-00 UIC1805-02-00,UCB1105-02-00 BIZ1101-09-00,18.0,월금,1,0,1,,1+1+2
13,19.19,MR,YCA1006-02-00,UIC1561-01-00 UIC1551-01-00 UIC2151-12-00 UIC1806-02-00,ECO1002-06-00 BIZ1101-09-00,18.0,월금,1,0,1,,2+1+1
14,19.19,MR,YCA1006-02-00,UIC1561-01-00 UIC1551-01-00 UIC2151-12-00 UIC1806-02-00,ECO1002-06-00 BIZ1101-09-00,18.0,월금,1,0,1,,2+1+1
15,18.92,Lang,YCA1006-02-00,QRM1001-01-00 UIC1561-01-00 UIC1551-01-00 UIC2151-12-00,YCH1605-01-00 YCK1998-03-00,18.0,월금,1,0,1,,2+3+1
16,18.815,MR,YCA1006-02-00,UIC1561-01-00 UIC1551-04-00 UIC2151-12-00 UIC1806-02-00,YCI1998-02-00 YCK1998-03-00,18.0,월금,1,0,1,,2+3
17,18.815,MR,YCA1006-02-00,UIC1561-01-00 UIC1551-04-00 UIC2151-12-00 UIC1806-02-00,YCI1998-02-00 YCK1998-03-00,18.0,월금,1,0,1,,2+3
18,18.49,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-01-00 UIC2151-08-00 UIC1806-02-00,YCI1901-01-00 YCK1998-03-00,18.0,월금,0,0,2,6,1+1
