rank,score,deferred,chapel,requirements,electives,elective_items,credits,free_days,early1,lunch_fail,dinner_fail,late,runs,holes
1,160.577,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-01-00 UIC2151-12-00 UIC1805-02-00,ECO1104-06-00 STA2102-05-00,ME ME,18.0,월금,1,0,0,1,4,1+2+1
2,160.577,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-04-00 UIC2151-12-00 UIC1805-02-00,ECO1104-06-00 STA2102-05-00,ME ME,18.0,월금,1,0,0,1,4,1+1+2
3,160.577,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-04-00 UIC2151-12-00 UIC1805-02-00,ECO1104-06-00 STA2102-05-00,ME ME,18.0,월금,1,0,0,1,4,1+1+2
4,160.577,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-01-00 UIC2151-12-00 UIC1805-02-00,ECO1104-06-00 STA2102-05-00,ME ME,18.0,월금,1,0,0,1,4,1+2+1
5,159.402,MR,YCA1006-02-00,UIC1561-01-00 UIC1551-01-00 UIC2151-12-00 UIC1805-02-00,ECO1104-06-00 STA2102-05-00,ME ME,18.0,월금,1,1,0,1,5,2+1
6,159.402,MR,YCA1006-02-00,UIC1561-01-00 UIC1551-01-00 UIC2151-12-00 UIC1805-02-00,ECO1104-06-00 STA2102-05-00,ME ME,18.0,월금,1,1,0,1,5,2+1
7,158.29,Lang,YCA1006-01-00,QRM1001-01-00 UIC1561-01-00 UIC1551-01-00 UIC2151-12-00,QRM2004-01-00 STA2102-05-00,ME ME,18.0,월금,1,0,0,1,4,1+2+1
8,158.29,Lang,YCA1006-01-00,QRM1001-01-00 UIC1561-01-00 UIC1551-04-00 UIC2151-12-00,QRM2004-01-00 STA2102-05-00,ME ME,18.0,월금,1,0,0,1,4,1+1+2
9,157.552,WCiv,YCA1006-02-00,QRM1001-01-00 UIC1551-01-00 UIC2151-13-00 YCF1603-04-00,STA2102-05-00 ECO1101-06-00,ME ECO1101,18.0,월금,0,0,0,3,5+6,3
10,157.115,Lang,YCA1006-02-00,QRM1001-01-00 UIC1561-01-00 UIC1551-01-00 UIC2151-12-00,QRM2004-01-00 STA2102-05-00,ME ME,18.0,월금,1,1,0,1,5,2+1
11,155.923,WCiv,YCA1006-02-00,QRM1001-01-00 UIC1551-01-00 UIC2151-12-00 YCF1603-04-00,STA2102-05-00 ECO1101-05-00,ME ECO1101,18.0,월금,1,0,0,2,6,3+2+1
12,155.452,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-01-00 UIC2151-12-00 UIC1805-01-00,ECO1104-06-00 STA2102-05-00,ME ME,18.0,월금,2,0,0,1,,1+2+2+1+1
13,155.452,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-01-00 UIC2151-12-00 UIC1805-01-00,ECO1104-06-00 STA2102-05-00,ME ME,18.0,월금,2,0,0,1,,1+2+2+1+1
14,155.452,MR,YCA1006-02-00,UIC1561-01-00 UIC1551-01-00 UIC2151-12-00 UIC1805-01-00,ECO1104-06-00 STA2102-05-00,ME ME,18.0,월금,2,0,0,1,,1+2+2+1+1
15,155.452,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-01-00 UIC2151-12-00 UIC1806-01-00,ECO1104-06-00 STA2102-05-00,ME ME,18.0,월금,2,0,0,1,,1+2+2+1+1
16,155.452,MR,YCA1006-02-00,UIC1561-01-00 UIC1551-01-00 UIC2151-12-00 UIC1805-01-00,ECO1104-06-00 STA2102-05-00,ME ME,18.0,월금,2,0,0,1,,1+2+2+1+1
17,155.452,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-01-00 UIC2151-12-00 UIC1806-01-00,ECO1104-06-00 STA2102-05-00,ME ME,18.0,월금,2,0,0,1,,1+2+2+1+1
18,155.452,MR,YCA1006-02-00,UIC1561-01-00 UIC1551-01-00 UIC2151-12-00 UIC1806-01-00,ECO1104-06-00 STA2102-05-00,ME ME,18.0,월금,2,0,0,1,,1+2+2+1+1
19,155.452,MR,YCA1006-02-00,UIC1561-01-00 UIC1551-01-00 UIC2151-12-00 UIC1806-01-00,ECO1104-06-00 STA2102-05-00,ME ME,18.0,월금,2,0,0,1,,1+2+2+1+1
20,155.342,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-01-00 UIC2151-07-00 UIC1805-02-00,STA2102-05-00 ECO1101-06-00,ME ECO1101,18.0,월금,0,0,0,2,4,1+2+1
21,155.342,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-01-00 UIC2151-08-00 UIC1806-02-00,STA2102-05-00 ECO1101-06-00,ME ECO1101,18.0,월금,0,0,0,2,4,1+2+1
22,155.342,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-01-00 UIC2151-06-00 UIC1805-02-00,STA2102-05-00 ECO1101-06-00,ME ECO1101,18.0,월금,0,0,0,2,4,1+2+1
23,155.342,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-04-00 UIC2151-08-00 UIC1806-02-00,STA2102-05-00 ECO1101-06-00,ME ECO1101,18.0,월금,0,0,0,2,4,1+1+2
24,155.342,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-01-00 UIC2151-06-00 UIC1805-02-00,STA2102-05-00 ECO1101-06-00,ME ECO1101,18.0,월금,0,0,0,2,4,1+2+1
25,155.342,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-04-00 UIC2151-09-00 UIC1806-02-00,STA2102-05-00 ECO1101-06-00,ME ECO1101,18.0,월금,0,0,0,2,4,1+1+2
26,155.342,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-04-00 UIC2151-06-00 UIC1805-02-00,STA2102-05-00 ECO1101-06-00,ME ECO1101,18.0,월금,0,0,0,2,4,1+1+2
27,155.342,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-04-00 UIC2151-08-00 UIC1806-02-00,STA2102-05-00 ECO1101-06-00,ME ECO1101,18.0,월금,0,0,0,2,4,1+1+2
