name,rating,in_top50,share_top5000,courses,note
비치로버트,0,50,0.972,UIC1561 WESTERN CIVILIZATION; UIC3634 TOPICS IN EUROPEAN HISTO,
정대경,0,50,0.958,YCA1006 채플(B); YCA1102 기독교와현대사회; YCG1103 인지종교학:종교현상에대한인지과학적-철학적이해,
김선영,0.85,43,0.175,ECO1101 MATHEMATICS FOR ECONOMIC; MAT1012 공학수학(2),
이명숙,1,29,0.520,STA1001 통계학입문; STA2102 선형대수; UIC1805 BEGINNING CHINESE (1); UIC1809 BEGINNING CHINESE (2),
차성운,-0.75,27,0.186,YCK1998 명예특임교수강의시리즈(양자역학과인문학),
왕하영,-0.8,23,0.356,UIC1551 WORLD HISTORY: GROUP II,
장화사,0.1,23,0.324,UIC1551 WORLD HISTORY: GROUP II; UIC1581 EASTERN CIVILIZATION,
김애자,0.95,19,0.351,UIC1806 BEGINNING JAPANESE (1); UIC1810 BEGINNING JAPANESE(2),
최웅식,0.7,16,0.175,UIC2151 RESEARCH DESIGN AND QUAN; UIC3657 SOCIOLOGY OF EDUCATION,
로버슨제프리,,15,0.207,UIC2151 RESEARCH DESIGN AND QUAN; UIC4801 SENIOR THESIS: INDEPENDE,
이재윤,0,13,0.400,QRM1001 INTRODUCTION TO QUANTITA; QRM4809 CORPORATE FINANCE STRATE,
이혜민,,11,0.101,YCE1253 책의역사로본서구문명,
드완나지스,,10,0.273,UIC2151 RESEARCH DESIGN AND QUAN,
김경외,,7,0.070,"QRM2004 STATISTICAL ANALYTIC MET; STP1001 INTRODUCTION TO SCIENCE,; STP2004 THE RISE OF MODERN SCIEN",
김유진,,6,0.091,UIC2101 CRITICAL REASONING; UIC2151 RESEARCH DESIGN AND QUAN,
김연희,,3,0.199,"ASP2033 NORTH KOREA: HISTORY, CU; UIC2151 RESEARCH DESIGN AND QUAN; UIC3593 REGIONALISM IN EAST ASIA",
홍승혜,,3,0.118,UIC1251 WORLD LITERATURE: EAST A; UIC1401 WORLD LITERATURE: COMPAR; UIC3649 TOPICS IN CULTURAL STUDI,
"나종갑,김건희",,1,0.120,YCH1605 창업204:현대사회생활과지식재산의보호,
한인혜,,1,0.052,ASP2010 KOREAN SOCIETY AND CULTU; ASP2022 AS LHP: CHINESE CINEMAS;,
최현옥,,0,0.154,STA1001 통계학입문; STA1002 미분적분학,
도헌수,,0,0.136,BIZ1101 회계원리(1),
이지연,,0,0.125,UCD1101 현대사회와사회학,
정현철,,0,0.112,UCB1105 서양철학사,
"이지은,이상국,서보경,임유경",,0,0.097,ANT2105 지구촌시대의문화인류학,
박덕영,,0,0.096,YCI1901 국제사회와법이야기,
로굴린스위니,,0,0.094,UIC1501 WORLD HISTORY: GROUP I; UIC3658 TOPICS IN COMPARATIVE HI,
정진욱,,0,0.076,ECO3104 계량경제학(1); YCI1998 명예특임교수강의시리즈(시장과규제),
"안신기,리은경",,0,0.064,YCJ1305 데이터기반의사결정과갈등관리리더십,
유상엽,,0,0.058,YCH1202 정책과공공리더십의이해,
