professor,appearances_in_top5000,courses,your_rating_-2..+2
이재윤,5758,QRM1001;QRM4809,
비치로버트,3523,UIC1561,
정대경,3407,YCA1006,
허준,1712,UIC1501,
이현주,1593,YCA1006,
라영순,1477,UCB1103,
김경외,1466,QRM2004,
쿼터메인토마스닐,1052,UIC1501;UIC1551,
최봉근,826,QRM3001;QRM4807,
장화사,708,UIC1551,
이효선,654,UIC1351;UIC1401,
왕하영,568,UIC1551,
가르얀토나다나엘,563,QRM2102,
이내연,485,UIC2151,
"정석란,양나래",366,BIO1002,
"파텔라즈쿠마,엄지원",355,CHE1002,
이상정,338,CHE1002,
nan,324,QRM3007;QRM4808,
김애자,322,UIC1806,
이명숙,322,UIC1805,
김석호,322,QRM2001,
로굴린스위니,306,UIC1501,
"베일리존앤드류,이명",302,PHY1002,
김우재,299,CHE1002,
부두완,268,CHE1002,
구유영,267,MAT1002,
이재용,266,PHY1002,
황태진,246,PHY1002,
문명희,246,CHE1002,
몰나르아론,229,UIC2151,
여인환,194,PHY1002,
김보현,187,PHY1002,
드완나지스,186,UIC2151,
박성호,158,CHE1002,
오세철,151,PHY1002,
김연희,138,UIC2151,
고철기,114,MAT1002,
이형용,97,QRM2002,
성두현,79,UIC1751,
김동호,71,MAT1002,
필립스다피드,29,UIC2151,
로버슨제프리,26,UIC2151,
